::1 - - [24/Nov/2025 19:25:42] "GET /js/simple-skillbar.js HTTP/1.1" 200 -
::1 - - [24/Nov/2025 19:25:42] "GET /js/mail-script.js HTTP/1.1" 200 -
::1 - - [24/Nov/2025 19:25:42] "GET /js/main.js HTTP/1.1" 200 -
::1 - - [24/Nov/2025 19:25:42] "GET /fonts/fontawesome-webfont.woff2?v=4.7.0 HTTP/1.1" 200 -
::1 - - [24/Nov/2025 19:25:42] "GET / HTTP/1.1" 200 -
::1 - - [24/Nov/2025 19:25:42] "GET /css/font-awesome.min.css HTTP/1.1" 200 -
::1 - - [24/Nov/2025 19:25:42] "GET /css/magnific-popup.css HTTP/1.1" 200 -
::1 - - [24/Nov/2025 19:25:42] "GET /css/nice-select.css HTTP/1.1" 200 -
::1 - - [24/Nov/2025 19:25:42] "GET /css/owl.carousel.css HTTP/1.1" 200 -
::1 - - [24/Nov/2025 19:25:42] "GET /css/linearicons.css HTTP/1.1" 200 -
::1 - - [24/Nov/2025 19:25:42] "GET /css/animate.min.css HTTP/1.1" 200 -
::1 - - [24/Nov/2025 19:25:42] "GET /css/bootstrap.css HTTP/1.1" 200 -
::1 - - [24/Nov/2025 19:25:42] "GET /css/main.css HTTP/1.1" 200 -
::1 - - [24/Nov/2025 19:25:42] "GET /img/AshuImg.jpg HTTP/1.1" 200 -
::1 - - [24/Nov/2025 19:25:42] "GET /js/vendor/jquery-2.2.4.min.js HTTP/1.1" 200 -
::1 - - [24/Nov/2025 19:25:42] "GET /js/popper.min.js HTTP/1.1" 200 -
::1 - - [24/Nov/2025 19:25:42] "GET /js/vendor/bootstrap.min.js HTTP/1.1" 200 -
::1 - - [24/Nov/2025 19:25:42] "GET /js/easing.min.js HTTP/1.1" 200 -
::1 - - [24/Nov/2025 19:25:42] "GET /js/hoverIntent.js HTTP/1.1" 200 -
::1 - - [24/Nov/2025 19:25:42] "GET /js/superfish.min.js HTTP/1.1" 200 -
::1 - - [24/Nov/2025 19:25:42] "GET /js/jquery.ajaxchimp.min.js HTTP/1.1" 200 -
::1 - - [24/Nov/2025 19:25:42] "GET /js/jquery.magnific-popup.min.js HTTP/1.1" 200 -
::1 - - [24/Nov/2025 19:25:42] "GET /js/jquery.tabs.min.js HTTP/1.1" 200 -
::1 - - [24/Nov/2025 19:25:42] "GET /js/jquery.nice-select.min.js HTTP/1.1" 200 -
::1 - - [24/Nov/2025 19:25:42] "GET /js/isotope.pkgd.min.js HTTP/1.1" 200 -
::1 - - [24/Nov/2025 19:25:42] "GET /js/waypoints.min.js HTTP/1.1" 200 -
::1 - - [24/Nov/2025 19:25:42] "GET /js/jquery.counterup.min.js HTTP/1.1" 200 -
::1 - - [24/Nov/2025 19:25:42] "GET /js/simple-skillbar.js HTTP/1.1" 200 -
::1 - - [24/Nov/2025 19:25:42] "GET /js/owl.carousel.min.js HTTP/1.1" 200 -
::1 - - [24/Nov/2025 19:25:42] "GET /js/mail-script.js HTTP/1.1" 200 -
::1 - - [24/Nov/2025 19:25:42] "GET /js/main.js HTTP/1.1" 200 -
::1 - - [24/Nov/2025 19:25:42] "GET /fonts/fontawesome-webfont.woff2?v=4.7.0 HTTP/1.1" 200 -
::1 - - [24/Nov/2025 19:25:42] "GET / HTTP/1.1" 200 -
::1 - - [24/Nov/2025 19:25:42] "GET /css/linearicons.css HTTP/1.1" 200 -
::1 - - [24/Nov/2025 19:25:42] "GET /css/bootstrap.css HTTP/1.1" 200 -
